Year,Population in Millions,GDP in Trillions of US$
2014,318.86,16.29
2011,311.72,15.19
2010,309.35,14.94
2009,306.77,14.54
2008,304.09,14.58
2006,298.38,14.72
2004,292.81,13.95
2003,290.11,13.53
2002,287.63,12.96
2001,284.97,12.71
2000,,
1999,279.04,12.32
1998,275.85,11.77
1990,249.62,8.91
1989,246.82,8.85
1987,242.29,8.29
1986,240.13,7.94
1985,237.92,7.71
1984,235.82,7.4
1982,231.66,6.49
1981,229.47,6.59
1980,,6.5
1979,225.06,6.5
1977,220.24,6.02
1976,218.04,5.73
1975,215.97,5.49
1973,211.91,5.46
1972,209.9,5.25
1964,191.89,3.78
1963,189.24,3.6
1962,186.54,3.42
1961,183.69,3.28
1959,177.83,3.06
1958,174.88,2.92
1957,171.98,2.85
1956,168.9,2.84
1954,163.03,2.61
1953,160.18,2.54
1952,157.55,2.53
1951,154.88,2.4
1950,152.27,2.27
1949,149.19,2
1948,146.63,2.04
1947,144.13,1.96
